Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
729,14.562,1.86,30.167
730,14.575,1.311,23.541
731,14.589,1.443,25.169
732,14.605,1.56,26.614
733,14.622,1.756,29.025
734,14.641,1.835,30.021
735,14.666,2.56,38.905
736,14.686,1.949,31.494
737,14.702,1.606,27.331
738,14.722,2.046,32.744
739,14.745,2.274,35.595
740,14.758,1.339,24.143
741,14.774,1.558,26.858
742,14.792,1.811,29.999
743,14.817,2.45,37.911
744,14.832,1.509,26.345
745,14.848,1.61,27.627
746,14.865,1.742,29.288
747,14.891,2.583,39.743
748,14.908,1.681,28.6
749,14.922,1.444,25.691
750,14.939,1.645,28.204
751,14.963,2.445,38.199
752,14.986,2.323,36.735
753,15.005,1.822,30.533
754,15.028,2.362,37.322
755,15.051,2.254,36.016
756,15.067,1.601,27.872
757,15.08,1.334,24.551
758,15.099,1.849,31.036
759,15.117,1.799,30.451
760,15.14,2.314,36.967
761,15.16,2.062,33.838
762,15.184,2.33,37.275
763,15.197,1.37,25.177
764,15.218,2.052,33.833
765,15.232,1.374,25.27
766,15.249,1.788,30.551
767,15.269,1.937,32.478
768,15.283,1.422,25.968
769,15.306,2.344,37.727
770,15.32,1.342,24.996
771,15.344,2.378,38.246
772,15.366,2.225,36.345
773,15.379,1.335,24.994
774,15.402,2.278,37.101
775,15.426,2.438,39.218
776,15.44,1.348,25.252
777,15.463,2.317,37.744
778,15.481,1.761,30.629
779,15.502,2.147,35.649
780,15.527,2.512,40.416
781,15.546,1.838,31.738
782,15.563,1.743,30.546
783,15.578,1.502,27.454
784,15.595,1.693,29.96
785,15.614,1.858,32.138
786,15.632,1.816,31.627
787,15.654,2.272,37.596
788,15.679,2.459,40.098
789,15.698,1.894,32.767
790,15.716,1.803,31.612
791,15.737,2.071,35.149
792,15.753,1.672,29.968
793,15.777,2.384,39.343
794,15.797,1.991,34.237
795,15.821,2.412,39.822
796,15.839,1.785,31.599
797,15.862,2.274,38.098
798,15.879,1.713,30.733
799,15.901,2.188,37.046
800,15.92,1.932,33.701
801,15.942,2.203,37.342
802,15.965,2.304,38.725
803,15.991,2.596,42.665
804,16.005,1.366,26.342
805,16.021,1.572,29.101
806,16.045,2.48,41.258
807,16.064,1.804,32.273
808,16.085,2.134,36.727
809,16.108,2.271,38.609
810,16.123,1.52,28.587
811,16.141,1.834,32.823
812,16.165,2.425,40.821
813,16.189,2.403,40.577
814,16.204,1.505,28.513
815,16.227,2.272,38.904
816,16.243,1.592,29.748
817,16.259,1.637,30.395
818,16.283,2.4,40.762
819,16.3,1.666,30.859
820,16.318,1.781,32.445
821,16.343,2.513,42.446
822,16.365,2.206,38.324
