Time (s),Predicted Fuel
17216.0,2.0471280878573026e-06
17217.0,1.1870926716127827e-05
17218.0,7.585688811583577e-06
17219.0,6.279200738324177e-07
17220.0,7.254545087333044e-06
17221.0,9.36002369150018e-06
17222.0,1.219421866319082e-06
17223.0,1.351667041338263e-05
17224.0,3.75534289436122e-06
17225.0,4.023515692394988e-06
17226.0,6.318556602777884e-06
17227.0,7.662458138635897e-06
17228.0,4.661577962645619e-06
17229.0,5.99081158613759e-06
17230.0,5.5213147966366925e-06
17231.0,1.1407912827215113e-05
17232.0,3.6190912411844203e-06
17233.0,8.757547738233243e-06
17234.0,6.510245658435386e-06
17235.0,5.70038142987713e-06
17236.0,1.0327194588192664e-05
17237.0,3.7178457787214714e-06
17238.0,7.474981890283929e-06
17239.0,7.375736395042589e-07
17240.0,1.0238981125885607e-05
17241.0,5.318708459284782e-06
17242.0,9.782230295256823e-06
17243.0,8.923303039520985e-06
17244.0,4.201322399238197e-06
17245.0,2.252512046982561e-06
17246.0,1.026222286218004e-05
17247.0,7.331266194727258e-06
17248.0,4.7644474509646795e-06
17249.0,4.1067458389918456e-06
17250.0,6.60801851434424e-06
17251.0,6.614115589655633e-06
17252.0,1.0382866977684981e-05
17253.0,7.274892402507401e-06
17254.0,3.031013339331259e-06
17255.0,9.360922969009343e-06
17256.0,5.240266814059682e-06
17257.0,7.5946450817657005e-06
17258.0,7.224773493583469e-06
17259.0,8.113571980628448e-06
17260.0,7.3670672691905645e-06
17261.0,6.453986324186231e-06
17262.0,4.016122385554511e-06
17263.0,3.6746679371346064e-06
17264.0,5.641780230945567e-06
17265.0,8.547518996128254e-06
17266.0,9.338278325473311e-06
17267.0,8.920358088892115e-06
17268.0,1.7356101234770885e-06
17269.0,1.0826579706422478e-05
17270.0,5.604390857776363e-06
17271.0,1.8563851853548535e-06
17272.0,1.1452682056001138e-05
17273.0,7.420390989211377e-06
17274.0,1.9605760058656406e-06
17275.0,5.593494017195682e-06
17276.0,7.774778998246247e-06
17277.0,9.907226101204444e-06
17278.0,9.68964806624827e-07
17279.0,1.3022555113935601e-05
17280.0,6.662501816371341e-06
17281.0,6.693249358211978e-06
17282.0,4.537522423054805e-06
17283.0,9.764812975235781e-06
17284.0,6.947930426521618e-07
17285.0,8.166538824297371e-06
17286.0,5.73531441784003e-06
17287.0,1.0475652241355105e-05
17288.0,4.839608230077375e-06
17289.0,5.7475803724736415e-06
17290.0,9.803875177089938e-06
17291.0,3.908739000570041e-06
17292.0,7.318399644054518e-06
17293.0,8.092805016661143e-06
17294.0,7.589302292892051e-06
17295.0,6.9749243455188005e-06
17296.0,-9.265008877830186e-07
17297.0,1.1027010312469614e-05
17298.0,3.283621574932237e-06
17299.0,9.040663239929547e-06
17300.0,6.605903627163647e-06
17301.0,1.1232780444101769e-05
17302.0,3.593299498923928e-06
17303.0,9.885179109357548e-06
17304.0,1.0014982370449736e-06
17305.0,6.593395903324689e-06
17306.0,8.805994182486278e-06
17307.0,3.6895255366832806e-06
17308.0,1.0856602130388661e-05
17309.0,1.0573300064269e-06
17310.0,1.3611993472603582e-05
17311.0,4.684436982227854e-06
17312.0,4.807577768960427e-06
17313.0,6.960229809242633e-06
17314.0,6.758321089452721e-06
17315.0,6.801148070537274e-06
17316.0,1.1132082325863807e-05
17317.0,6.428138714470726e-06
17318.0,5.137428805962201e-06
17319.0,5.816419215872634e-06
17320.0,2.2618791933835214e-06
17321.0,1.1254355359884083e-05
17322.0,6.0977718673234065e-06
17323.0,8.34368729096219e-06
17324.0,1.5198309797985008e-06
17325.0,1.147419895176067e-05
17326.0,5.8228730797098314e-06
17327.0,5.780291657423465e-06
17328.0,4.7679690777109294e-06
17329.0,9.204031908981478e-06
17330.0,6.543825725069687e-06
17331.0,7.833650300511375e-06
17332.0,7.422429748018518e-07
17333.0,1.3575270399643912e-05
17334.0,5.511886023447307e-06
17335.0,8.965873668204573e-06
17336.0,6.629494812716016e-06
17337.0,8.698438240304507e-07
17338.0,6.579931853855094e-06
17339.0,1.1387560590691299e-05
17340.0,3.904024619517988e-06
17341.0,5.135454399869225e-06
17342.0,1.113456882664055e-05
17343.0,4.726763205189367e-06
17344.0,7.746040912579665e-06
17345.0,7.990655397702562e-06
17346.0,4.17892964159801e-06
17347.0,1.0485772925190643e-05
17348.0,5.1348004417631426e-06
17349.0,7.972329428216135e-06
17350.0,4.00887473231225e-06
17351.0,7.586257887355674e-06
17352.0,8.289228846131677e-06
